,ID,LatNP,Latitude,LonNP,Longitude,nasapid,geometry,aoi_area,2023-01-17,2023-01-22,2023-01-27,2023-02-01,2023-02-06,2023-02-11,2023-02-16,2023-02-21,2023-02-26,2023-03-03,2023-03-08,2023-03-13,2023-03-18,2023-03-23,2023-03-28,2023-04-02,2023-04-07,2023-04-12,2023-04-17,2023-04-22,2023-04-27,2023-05-02,2023-05-07,2023-05-12,2023-05-17,2023-05-22,2023-05-27,2023-06-01,2023-06-06,2023-06-11,2023-06-16,2023-06-21,2023-06-26,2023-07-01,flooding_date
30,5518609,16.25,16.45833333,-15.75,-15.95833333,152969,"MULTIPOLYGON (((-15.833333333333314 16.41666666666663, -15.833333333333314 16.5, -15.75 16.5, -15.75 16.41666666666663, -15.833333333333314 16.41666666666663)))",2687.35,118.24,148.58,175.47,203.15,465.97,465.97,475.23,608.64,644.23,822.04,1467.76,1469.67,1469.67,1791.84,1815.77,1969.47,1969.47,1969.47,2036.72,2036.72,2072.11,2072.11,2074.12,2078.65,2078.65,2080.24,2080.24,2080.24,2086.51,2086.51,2086.51,2086.53,2087.34,2087.36,03-03-23
31,5518613,16.25,16.45833333,-15.75,-15.625,152969,"MULTIPOLYGON (((-15.916666666666686 16.41666666666663, -15.916666666666686 16.5, -15.833333333333314 16.5, -15.833333333333314 16.41666666666663, -15.916666666666686 16.41666666666663)))",7730.15,10.04,10.69,10.72,10.72,10.72,10.72,24.74,24.74,24.74,24.74,28.97,29.06,29.06,65.57,65.57,87.12,87.12,87.12,87.62,87.62,88.33,88.33,89.08,89.79,89.79,90.52,90.52,90.52,90.61,90.61,90.61,90.73,90.73,90.96,01-07-23
32,5518612,16.25,16.45833333,-15.75,-15.70833333,152969,"MULTIPOLYGON (((-15.583333333333371 16.41666666666663, -15.583333333333371 16.5, -15.5 16.5, -15.5 16.41666666666663, -15.583333333333371 16.41666666666663)))",784.25,39.81,46.87,46.97,46.97,72.01,72.01,123.11,123.11,176.16,176.16,254.05,254.8,254.8,294.7,294.7,305.39,305.39,305.39,306.31,306.31,307.97,307.97,309.86,310.72,310.72,310.9,310.9,310.9,311.3,311.3,311.3,311.32,311.32,311.43,06-02-23
33,5518611,16.25,16.45833333,-15.75,-15.79166667,152969,"MULTIPOLYGON (((-16.416666666666686 16, -16.416666666666686 16.083333333333428, -16.333333333333314 16.083333333333428, -16.333333333333314 16, -16.416666666666686 16)))",8566.46,34.41,78.16,99.52,99.52,236.52,236.52,312.96,312.96,354.61,354.61,633.71,638.92,638.92,662.99,662.99,664.5,664.5,664.5,670.04,670.04,673.91,673.91,676.75,679.32,679.32,679.47,679.47,679.47,683.67,683.67,683.67,683.67,683.67,683.68,27-01-23
34,5518610,16.25,16.45833333,-15.75,-15.875,152969,"MULTIPOLYGON (((-16.08333333333337 16.33333333333337, -16.08333333333337 16.41666666666663, -16 16.41666666666663, -16 16.33333333333337, -16.08333333333337 16.33333333333337)))",8602.56,58.16,70.55,78.5,78.5,179.47,179.47,698.09,698.1,719.46,760.9,1158.86,1209.86,1209.86,1932.18,1932.18,2014.41,2014.41,2014.41,2164.24,2164.24,2225.05,2225.05,2233.03,2238.55,2238.55,2238.84,2238.84,2238.84,2247.31,2247.31,2247.31,2247.99,2247.99,2258.04,27-01-23
35,5518614,16.25,16.45833333,-15.75,-15.54166667,152969,"MULTIPOLYGON (((-16.5 16, -16.5 16.083333333333428, -16.416666666666686 16.083333333333428, -16.416666666666686 16, -16.5 16)))",7575.04,0.51,0.78,0.78,0.78,0.78,0.78,1.28,1.28,1.29,1.29,1.47,1.47,1.47,3.06,3.06,3.06,3.06,3.14,3.25,3.25,3.63,3.63,3.99,4.47,4.47,4.63,4.63,4.63,4.71,4.71,4.8,4.8,4.8,4.82,01-07-23
36,5514292,16.25,16.375,-15.75,-15.70833333,152969,"MULTIPOLYGON (((-16.16666666666663 16.33333333333337, -16.16666666666663 16.41666666666663, -16.08333333333337 16.41666666666663, -16.08333333333337 16.33333333333337, -16.16666666666663 16.33333333333337)))",8602.56,16.24,17.45,17.45,17.45,33.55,33.55,41.81,41.81,83.83,83.83,116.23,116.75,116.75,131.88,131.88,132.9,132.9,132.9,138.88,138.88,141.26,141.26,141.37,141.79,141.79,141.98,141.98,141.98,142.56,142.56,142.56,142.56,142.56,142.57,26-02-23
37,5514291,16.25,16.375,-15.75,-15.79166667,152969,"MULTIPOLYGON (((-16.25 16.33333333333337, -16.25 16.41666666666663, -16.16666666666663 16.41666666666663, -16.16666666666663 16.33333333333337, -16.25 16.33333333333337)))",8593.29,29.09,29.77,29.85,29.85,31.45,31.45,278.15,278.16,408.76,408.76,491.5,492.21,492.21,564.06,564.06,577.95,577.95,577.95,579.63,579.63,581.84,581.84,582.38,582.66,582.66,582.97,582.97,582.97,583.2,583.2,583.2,583.2,583.2,583.24,01-07-23
38,5514290,16.25,16.375,-15.75,-15.875,152969,"MULTIPOLYGON (((-16.333333333333314 16.33333333333337, -16.333333333333314 16.41666666666663, -16.25 16.41666666666663, -16.25 16.33333333333337, -16.333333333333314 16.33333333333337)))",8171.53,5.88,6.11,6.17,6.17,26.4,26.4,1268.45,1268.45,1300.43,1328.91,1508.02,1508.15,1508.15,1636.88,1636.88,1680.57,1680.57,1680.57,1707.2,1707.2,1717.82,1717.82,1720.67,1721.93,1721.93,1722.21,1722.21,1722.21,1723.57,1723.57,1723.57,1723.57,1723.57,1723.57,27-01-23
39,5514289,16.25,16.375,-15.75,-15.95833333,152969,"MULTIPOLYGON (((-15.75 16.33333333333337, -15.75 16.41666666666663, -15.666666666666629 16.41666666666663, -15.666666666666629 16.33333333333337, -15.75 16.33333333333337)))",1758,43.53,104.68,111.35,149.63,349.82,349.82,365.14,454.8,498.28,671.82,1137.84,1140.13,1140.13,1359.98,1367.98,2060.13,2060.13,2060.13,2121.93,2121.93,2173.53,2173.53,2175.1,2179.14,2179.14,2182.22,2182.22,2182.22,2192.31,2192.31,2192.31,2192.76,2192.76,2192.76,03-03-23
